,company,job,title,question,answer
10,(주)게임덱스,IT/웹/통신,"게임잡에 이력서를 넣었고 면접문자가 오기까지 대략 1주정도의 시간이 있었고 면접문자 후 대략 일주일 후 면접 일정이 잡혔고 면접을 본 후 그 다음주 월요일에 불합격 통보를 받았습니다.""","가장 기억에 남는 질문은 ISTQB 자격증을 소지하고 있었기에 ISTQB 질문을 하는데 블랙박스, 화이트박스 및 qa기본원칙을 제외한 나머지 기억나는것을 전부 말해달라고 질문받았던것이 가장 기억에 남고, 학창시절에 친구한테 넌 이러이러한것이 문제라고 단점을 지적받은 적이 있다면 어떤거였냐는 질문, 5년뒤에 자신이 무슨일을 하고있을 거 같냐는 질문 이...","처음 질문에는 처음에 대답하려던게 블랙박스 화이트박스에 관한거였어서 순간 외에 기억에 남냐는 질문에 머리가 새하얘져 대답을 하지 못하였고, 두 번째는 보통 친구들에게 단점을 지적받을 일이 없거나 기억이 나는 게 없어 대답하지 못하였고, 3번째는 별로 생각해 본적 없는 질문이라 그리 좋지 못한 대답을 하였던게 좀 아쉽다 정도의 느낌을 받았습니다. 집에..."
11,(주)님블뉴런,IT/웹/통신,"편안한 분위기와 면접관, 전문적이며 안정적인 팀원""","1. 바꾸고 싶은 컨텐츠가 있다면?
2. 테스트 할 때 중요하게 생각하는 부분
3. 직무 외 배움에 대해",회사의 발전 뿐만 아니라 개인의 발전까지 신경쓰고 있다는 것을 느꼈습니다.
12,이유게임(주),IT/웹/통신,"자기소개-게임시장 파악-동향-질문 등.
간단히 제가 하는 게임에 대한 질문과 성격의 장단점, 게임 시장 파악에 대한 질문""","고객에게 이러한 문의가 인입되었다면 어떻게 대처할 것인가?
제가 생각지 못한 답변을 들려주셔서 감명깊었습니다.
해당 내용이 게임사에 대한 불만스러움인데 저는 단순히 케어멘트 과감히 넣어 가급적 유저 입장에서 넣고자 하였으나, 의도치않게 감정적인 부분이 섞인걸 바로 캐치해주셨습니다..","첫 회사다보니 아무래도 배울게 많이 보였고, 입사 후 꼭 여러가지를 배워보고 싶었고 면접 전 사내 분위기도 좋았어서 가급적 오래 다니고 싶은 마음이었습니다"
13,(주)캐논크래커,IT/웹/통신,"허울만 좋은 중소기업

과정 자체는 복지 좋은 기업들을 잘 따라가려고 하지만 (일정 리마인드, 면접비 등)
동의 없이 비공식 레퍼체크 하는 곳입니다.

겉 보기에 좋아 보이는 것들로 채우고 있지만 기본부터나...""","지원자는 다른 사람들로부터 어떤 사람이라고 평가받나요?
수강한 교육에 대한 검증 질문
업무강도 높고 높은 급여 vs 워라밸 적당한 급여","대부분 임기응변으로 대답할 수 있고
지원자를 고려한 채용프로세스를 만들어 나가고 있는 것 같지만
사전 안내나 동의 없이 진행한 평판체크로 인해 지금까지의 모든 회사 면접 경험 중 가장 불쾌한 마무리였음."
14,(주)그라비티,IT/웹/통신,"1차 - 포폴 위주의 기술면접
2차 - 인사면접

1차는 cto가 직접 면접을 봤고 면접이 끝난 후에는 과제를 줬음(제출한 과제를 확인한건지는 모르겠음)
2차는 인사면접이고 형식적인 내용하고 연봉 얘기를 함""","자기소개, 이전 직장 프로젝트, 여기서 하고 싶은일 할 수 있는 일이 무엇인지",2차면접에서 연봉 얘기가 있었는데 딱히 연봉을 맞춰줄 것도 아닌듯 한데 채용과정을 끌은 이유가 뭔지… 그리고 채용후 4개월 동안 평가하고 마음에 안들면 채용 취소 할 수도 있다는 얘기는 좀 놀랍네요. 어렸을때 좋아하던 게임을 만든 회사 였는데 역시 추억은 추억일뿐…
15,넷마블에프앤씨(주),IT/웹/통신,"인터뷰는 각 팀마다 다른것 같은데 저는 1-2차 같이 봤습니다""",기본적으로 이력서 기반 질문이 대다수이어서 어려운건 없는듯 흡니다,내가 한것에 대해 얘기맠 잘하몈 문제없을 듯 합니다. 모르는검 모른다 하는게
16,투바이트(주),IT/웹/통신,"인성/실무 면접 한번에 봣습니다
마지막에 실력테스트 했습니다""","주로 게임에 대해 잘 아는지 질문입니다.
어떤게임 하는지, 좋아하는 게임, 게임관련 업무 해본경험","편하게 면졉봤습니다
게임 취향에 대한 예기도 했습니다"
17,(주)액션스퀘어,IT/웹/통신,"서류 넣은지 일주일 이내에 빠르게 잡힘, 면접 합격도 2일 내 통보 해주심""",어떠한 기준을 가지고 게임 기획을 진행하며 어떤 점을 중요시 하는지 질문,면접 자체에 대한 경험은 좋은편
18,(주)라이온하트스튜디오,IT/웹/통신,"온라인으로 전용 채용 홈페이지를 통해 지원 하였고 서류가 통과되어 면접으로 진행
건물이 조금 복잡하여 처음 가는 사람에게는 헤맬수 있으니 일찍 가는 것을 추천
면접 도착시 친절하게 안내해 주심""","- 레벨 디자인에서 가장 중요한 점은 무엇이었는지
- 슈터 게임에서 가장 중요함 점은 무엇이었는지
- 레벨 디자인이 만들어지는 순서에 대한 질문","- 레벨 디자인에서 제일 중요한 점은 의도라고 말했으며 멀티 플레이 에서는 엄폐물에 대한 구조화를 이야기함
- 피드백에 대한 이야기를 하였고 단순하게 타격감이 만이 아니라 쏘는 감각에 대한 피드백을 설명
- 실제 업무에서 레벨디자인을 구성하는 업무 순을 나열하여 설명함
친절하게 대해주셨고 편안한 면접 분위기 였음"
19,111퍼센트(주),IT/웹/통신,"1차 실무 면접, 2차 인사팀 면접, 처우 협상, 채용""","캐주얼 게임을 많이 플레이하는지
출시부터 업데이트까지 전 과정을 경험했는지
변화와 빠름에 잘 적응할 수 있는지","GFC 33층 뷰 좋음
대기하면서 마신 음료도 맛있음"
20,(주)밸로프,IT/웹/통신,"면접은 그냥 부담없이 진행됩니다. 딱히 어려운 질문도 없습니다. 면접은 총 2번 보고 실무자들이랑 인사팀 면접을 따로 봅니다.""",전 직장에서 어떤 일을 했는지 물어봅니다. 그 외에 딱히 기억에 남는 질문은 없습니다.,면접은 좋았지만 처우협의는 최악이었습니다. 전에 받았던 연봉에서 30%나 깎으려 했습니다. 그 연봉에 점심식대도 없고 포괄임금제라 입사하고 싶지는 않았습니다.
21,(주)게임스프링,IT/웹/통신,"화상 면접 후 3-4일 안으로 과제 제출 후 대면면접으로 진행""","도박과 소셜카지노게임의 차이점, 리플렉션, 코루틴의 과정",제대로 답변을 하지 못한것이 좀 아쉬웠다.
22,트리노드(주),IT/웹/통신,"직무위주로 꼼꼼하게 물어보시고 생각못한 질문도 있어서 진땀뺏지만 대체적으로 편하게 면접보도록 신경써주시는 분위기""",대학전공 질문은 신입지원 뒤로는 오랜만에 받아서 잠깐 당황한기억이 난다,회사인테리어부터 it기업이구나 느껴졌음
23,(주)나딕게임즈,IT/웹/통신,"전화로 면접제의 연락 후 일정 조율을 해서 면접을 봤습니다""",기술면접과 인성면접 두번을 보았고 각자 담당하신 면접관들이 제가 불편하지않게끔 질문을 해주셨습니다,이 당시 질문과 답변에 대해서 서로 긍정적인 부분들이 많았습니다
24,(주)하이브로,IT/웹/통신,"1차면접 ▶ 과제 ▶ 2차면접
과제는 이틀정도 주어졌던것으로 기억함.""","공백기에 무엇을 했는지, 과제에 대한 발상은 혼자서 한 것인지, 책을 많이 읽는지","면접은 꽤 편안한 분위기에서 이루어짐.
대답하기 어렵거나 곤란한 질문은 없었기에 무난하게 답변."
25,(주)엔픽셀,IT/웹/통신,"1차는 다대일, 2차는 일대일로 진행
결과 나오는 속도는 느렸습니다.""","포트폴리오 관련 질문
실무 뿐만 아니라 외주 관리도 가능한지
인생 가장 힘든 순간이 언제였나",난이도는 무난했습니다. 1차는 분위기가 좋단 생각이 들어서 긍정적이었습니다.
26,(주)게임듀오,IT/웹/통신,"금요일 지원 후 다음 주 월요일에 연락 받고 화요일에 과제 진행 후 목요일 과제 통과 후 그 다음 주 월요일 면접 진행""","기억나는 시나리오 대사
방치형 게임 롱런 방법
방치형 게임 랭커 유저 과금 금액",편안한 분위기
27,(주)파프리카인더스트리,IT/웹/통신,"1차은 3-40분 진행 되었고 포트폴리오 관련하여 질문 받고 무슨 프로젝트 진행하고 있는지 소개받음. 2차 면접은 말만 2차고 처우 협의 진행함.""","1. 포트폴리오 관련하여 가장 맘에 드는 혹은 자신있는 작품 설명.
2. 작품당 제작 시간
3. 힘들었던 경험",편안한 분위기에서 진행 되었고 회사가 무슨 프로젝트 하고 어떤 회사인지 자세하게 소개 받아서 그 부분은 좋았음.
28,(주)조이시티,IT/웹/통신,"면접연락이왔고 바로 그주에 면접을 보러감""","팀원중에 작업속도가 너무 느리거나 못하는 사람이 있다면?
클래스와 struct의 차이는?
자신을 뽑아야하는 이유?",답변을 공유드릴수는없지만 성심성의껏 답변하였고 열심히 준비한만큼 잘 대답했다고 생각함
29,(주)노크노크,IT/웹/통신,"최초 연락후 하루뒤에 면접연락을 받고 1주일정도 후에 결과 통보 받음""","1. 해당 업무에 대해서 어떻게 알고 있는지
2. 포트폴리오에서 부족해보이는 부분과 그 보완 계획은
3. 여가시간엔 무엇을하는지",평범했다.
30,(주)위메이드플레이,IT/웹/통신,"서류 접수 후 빠르게 면접 일정이 잡힘. 최종 합격하기까지 전형이 빠르게 진행됨.""","1차면접에서는 실무와 관련된 질문 위주였음.
2차면접은 비교적 짧고 간결하게 끝나 형식적이라는 느낌을 받음.",빠르게 진행되어서 좋았음.
31,(주)피플밤,IT/웹/통신,"서류합격 후 화상면접 제의를 받습니다. 당일 링크를 받아 접속하고 면접녹화에 대한 동의여부를 받고 시작합니다. 준비해두신 질문수가 꽤 되었고 차례로q&a형식으로 진행됩니다.""","Mbti, pm에서 힘들었던점, 지원동기, wbs, 사수가없어도 괜찮은지",공고에 적힌 업무가 구체적이지않고 광범위한것같아 디테일하게 들어보고싶어 질문하였으나 공고에 적혀있기때문에 말해줄수 없다는 답변을 받았습니다.
32,(주)마로스튜디오,IT/웹/통신,"중소여서 티타임 느낌
복장 깔끔하게 하고 싹싹하면
좋게봄""","애니메이션 좋아하냐
3d업계일 계속 하고싶은지
그런 가벼운 질문이 대부분","타 기업에 비해 수직적인 느낌은 적은편
근로자 배려 많이해줌"
33,(주)프리것버드,IT/웹/통신,"면접관: CEO, CTO, 외부협력업체
과정요약: 코딩테스트 > 코딩테스트에 관한 질의응답 > Q&A""","Q1. 면접관: 코딩테스트 마지막 문제에서 ""스승이 제자에게 바닥에 그려진 원 안에서 하루를 아무것도 안하고 버티라고 한다면 어떻게 하겠는가""
A1. 본인: 버팁니다. 실제로 군대 호국훈련 때 밥을 제대로 안 줘서 후임들에게 전부 양보하고 한 끼도 물도 못 마시면서 버텨봤습니다. 인간은 그리 쉽게 죽지 않는다는 것을 직접 경험해봤기에 버틸 수...",비전공 국비지원수료 후 여러 면접을 봤지만 죄다 개판이였으나 유일하게 코딩테스트 및 기술면접을 진행했던 정상적인 기업
34,(주)빅게임스튜디오,IT/웹/통신,"포트폴리오에 대한 전체적인 리뷰와 왜 게임업계로 직무전환을 했는지 검토""",자신의 인생에서 가장 인상깊게 봤던 애니메이션 총 3개만 말해주세요.,"대중픽 2개와 매니아층 픽 1개, 업계가 업계인만큼 서브컬쳐 문화에 잘 알면 좋은편"
35,(주)휴먼웍스,IT/웹/통신,"들어가면 면접전에 20분정도 인성평가를 작성 후 20~30분 정도의 면접시간을 가집니다.""","사용한 프로그램들의 차이점, 사용목적, 개인적으로 구축해봤던것",집에서 개인적으로 한 프로젝트
36,(주)슈퍼크리에이티브,IT/웹/통신,"짧게 회사투어를 하고 면접실로 이동해 진행하였습니다.""","이력서 기반으로 무난하게 진행됩니다.
경험위주로 30분 이상 진행되었습니다.","전체적으로 차분하고 무난한 면접이었습니다.
특정 질문 답변에서 면접관 반응을 보고 다른 얘기를 할 걸 그랬다 아쉬운 점이 있었습니다.
면접 인상은 좋았습니다."
37,(주)그라비티네오싸이언,IT/웹/통신,"서류전형 합격후 면접 진행 인사면접은 2주 정도 걸린거같다. 편안한 분위기로 질의응답""","경력사항요약 자기소개, 직무별 힘들었던점, 등의 내용이었습니다.",친절하지만 2차면접 일정텀이 길었음
38,(주)채플린홀딩스,IT/웹/통신,"지원한 후 1주뒤쯤 연락이 왔으며, 면접은 1대1로 진행""","1. 야근 많이 했는데 괜찮은지?
2. 현재 게임 시장에 대해서
3. 인생 게임은 무엇인지?","크게 어려움 없는 면접
압박 등은 따로 없었음"
39,(주)비주얼라이트,IT/웹/통신,"문자로 시간과 장소를 통보하고, 직무에 관련된 질문과 자기소개서에 나와있는 질문등을 함""",만드는데 얼마나 걸렸는지 작업과정이나 기타 자기소개 등을 물어보았음,전문성이 떨어지는 듯한 느낌을 많이 받았음
40,엔비어스(주),IT/웹/통신,"1차 실무진면접
2차 임원 면접 후 계약""",기본적인 개발 지식들 관련된 질문이었습니다,면접관분들이 다 좋았습니다
41,(주)넵튠,IT/웹/통신,"사전 과제 테스트 -> 1차 직무 면접 -> 2차 인성 면접 순서로 진행되었습니다. 1차 면접은 3:1로 보았고 2차 면접은 1:1로 보았습니다.""","1,2차 모두 주로 직무에 관한 질문이 많았고 저의 전공 관련 역량을 궁금해 하셨습니다. 그 다음으로 성격이나 평소 작업 스타일을 알아볼 수 있는 질문을 받았습니다.","안내해주시는 인사담당자님부터 면접관 분들까지 모두 정말 친절하셨고 긴장한 저를 편하게 만들어주시려는게 느껴져서 감사했습니다. 면접도 딱딱한 분위기가 아닌 부드러운 분위기였고, 일방적인 질의응답보다 서로를 알아가는 ‘대화‘를 하는 느낌이었어서 전반적인 면접 경험의 기억이 매우 긍정적으로 남아있습니다."
42,에이스톰(유),IT/웹/통신,"공고를 통해 접선, 1차면접과 2차면접을 합격하고 채용되었습니다.""","자사게임인 최강의군단이 망했던 이유, 최강의군단을 고친다면 무엇을 고칠지, 가장 좋아하는 게임은?",압박면접은 아니었고 답변에 따라 좀 더 딥하게 추가 질문하는 형태로 진행되었습니다.
43,(주)슈퍼플래닛,IT/웹/통신,"굉장히 불쾌한 면접이었다. 인사팀의 안내도 삐그덕거리는 느낌이었으며, 면접관들의 질문은 굉장히 공격적이었음.""",이전 회사에서의 업무 경험 내용을 약간은 비웃으며 깔보는 듯한 느낌의 질문을 자주 했다,그정도로 이 회사에 적응할 수 있겠냐 해서 할 수 있다 하긴 함.
44,인피니텀(주),IT/웹/통신,"서류 합격 후 3대1 면접 봄. 면접관은 실무진 2명 이사 1명이었고 평범한 분위기였음""","프로젝트에서 사용했던 기술들에 대한 질문
평소 관심있는 기술에 대한 질문
인성질문",어느정도 할 줄 아나 보는 느낌
45,넷마블몬스터(주),IT/웹/통신,"유선 전화 및 이메일로 비교적 빠르게 진행되었음""","1. 로직을 왜 이렇게 설계했는가
2. 다른 게임에서의 어떤 구조에 대해서 어떻게 생각했는가
3. 우리 장르 게임 많이 했는가",평이한 수준입니다. 압박 면접은 따로 아니었습니다.
46,(주)매드오카,IT/웹/통신,"첫 회사였고, 처음 면접 이었습니다. 학교 소개로 알게 되었습니다.""","어떤 게임을 주로 했는지, 그 게임에서 밸런스 적인 문제점, 왜 그렇게 나왔을 까 이런 것들을 물었습니다.",입구부터 서브컬쳐 게임 만드는 회사구나를 알았기 때문에 편하게 했습니다.
47,(주)포켓몬코리아,IT/웹/통신,"잡코리아를 통해 이력서를 넣었고, 대략 3일 이후 면접을 보러 오라는 문자를 받았습니다. 면접 과정은 일본어 테스트 먼저 수행하고, 이후 면접관 두 분과 30분 가량 면접 진행하였습니다.""","1. 자기소개를 본인 경력과 결부시켜 1분간 해보라
2. 취미를 일본어로 설명해보라
3. 원하는 연봉이 있는가","1. 제가 가진 타 업체 해외사업부 경력을 결부시켜 설명드렸습니다.
2. 영화 보는 것을 선호한다고 일본어로 설명드렸습니다.
3. 그간 4000만원 가량의 연봉을 수령한 바, 그에 준하는 연봉을 원한다고 설명드렸습니다."
48,(주)플레이링스,IT/웹/통신,"연락받고 1차 실무면접 2차 임원면접""",포폴 이야기 어떤작업을 할거다 이야기 임원면접은 성격은 어떻냐,무난무난
49,(주)이브이알스튜디오,IT/웹/통신,"1차는 기술보단 인성 면접 같았다
물론 기술도 물어보는데, 2차에서도 기술 질문이 들어옴.""","프로그래밍 언어와 그래픽스에 대한 질문이 물어본다.
언어는 크게 어렵지 않지만 그래픽스 좀 어려움",2차 인성면접인 줄 알고 들어갔다가 당황함
50,(주)엔젤게임즈,IT/웹/통신,"전화로 면접이 잡혔습니다.
대표님과 1:1로 면담했고,후속 절차 없이 바로 결과받았습니다.""",1.포트폴리오중 가장 마음에 드는 것은? 2.특정 게임에 대해서 어떻게 생각하는지 3.어떤 사람이 되고 싶은지,다른 곳에서 봤던 면접보다 진솔하게 대해주신다는 느낌을 많이 받았습니다.
51,메타버스월드(주),IT/웹/통신,"빠르게 연락오고 바로 면접 진행했습니다""","과거 개발 상황 이슈
가장 기대하는 점
프로젝트에 대한 의견",정중하고 예의있는 면접관 태도가 좋았습니다.
52,(주)와이제이엠게임즈,IT/웹/통신,"회의실에서 잠시 대기 후 면접시작
처음에는 간단하게 사는 위치나 통근 방법, 여행 등 얘기함
경력관련 소개 및 과정, 디테일 들어감
인성 위주의 면접으로 보였음
면접은 어렵지 않았고 압박면접도 아니였다""","개발 과정에서 생긴 문제를 해결방법,
직원간의 소통, 무엇이 회사생활에서 중요한지 물어봄","경력이나 경험이 사실인지 확인하기 위함인듯함
인성확인을 오래함, 사건이 발생했을때 대처라든지, 불화 등"
53,(주)슈퍼캣,IT/웹/통신,"총 2회 면접으로 직무면접과 임원면접이 있었습니다.
어려운 질문이 있지는 않았고 분위기도 잘 풀어주셔서 좋았습니다.""","1분 자기소개, 나의 장점과 단점, 차별화되는 강점",좋은 경험이었습니다.
54,핀콘(주),IT/웹/통신,"실무진 면접-실무과제테스트-처우 협의-채용""","1. 회사에 지원하게 된 동기
2. 근무 중 다른 동료와의 의견 출돌이 있을 시 어떻게 하겠는가?
3. 좋아하는 게임과 만들고 싶은 게임은?",면접을 진행하면서 긴장하지 않게끔 편안한 분위기를 유도해주셨고 실제로도 마음 편한 분위기속에서 후회가 남지 않게끔 답변할 수 있는 환경을 만들어 주셨습니다.
55,한빛소프트(주),IT/웹/통신,"서류합격 후 연락, 팀장님과 1차 면접, 인사팀장님과 2차 면접, 당일 합격연락 방식으로 이뤄졌습니다""",회사를 그만둔다면 그 이유가 무엇때문일 것 같냐는 질문이 기억에 남습니다,제가 더이상 성장한다고 느끼지 않을 때 회사를 떠날 것 같다고 말씀드렸습니다
56,(주)무브인터렉티브,IT/웹/통신,"잡코리아 지원 후 1주일 내 연락, 1차 2차면접을 당일에 동시에 봄
이틀 뒤 합격통보""",자사 게임을 즐겨본적이 있는지 ? 어떤 게임을 좋아하는지 ? 게임할 때 과금을 하는지 와 같은 게임사라면 할만한 질문을 함,편안한 분위기에서 면접 진행
57,(주)라이언게임즈,IT/웹/통신,"1차, 2차 면접을 하루에 다 봄. 이점은 마음에 들었음.
1차 실무 면접이 너무 빨리 끝났음. 질문이 몇개 없고 애초에 나에 대해 궁금하거나 실력이 어떤지 알고 싶어하는지 의문이 들었음.
2차 면접도...""","커뮤니케이션을 잘할 수 있냐
시스템 기획적 아이디어를 자꾸 캐물음
직원들과 친해질 수 있냐","임원 면접에서 커뮤니케이션과 사원들과 교우 관계에 대한 것만 주구장창 물어보시던데 임원분 본인의 커뮤니케이션 능력이 더 걱정스러웠습니다.
(저는 현직장에서 커뮤니케이션과 의사소통 관련해서는 가장 긍정적인 평가를 받고 있습니다.)
말이 원래 그렇게 없냐, 왤케 조용하냐, 동료들과 대화를 할수 있겠냐 등등 무슨 사람을 면접내내 사회성 없는..."
58,(주)브이에이게임즈,IT/웹/통신,"PD와 면접 오래돼서 잘 기억은 안나지만 면접 후에 인사팀 전화? 후 채용완""",결혼유무? 를 왜 물어보는 지 모르겠다. 상사가 실력이 없을 때도 그에 따를 수 있는지 질문이 있었다,딱히 기억에 남거나 느낄만한 면접 내용은 없었다
59,(주)너디스타,IT/웹/통신,"서류 지원 후 하루 뒤에 전화로 면접 일정 잡았습니다.""","없습니다. 개발팀장? 총괄? 이라는 분과 1대1로 면접 진행했는데 의자를 틀어서 앉아서 듣는 둥 마는둥 애초에 면접을 볼 생각이 없으셨던 분 같았습니다. 해당 회사의 블록체인 개념을 공부해갔는데, 관련된 질문을 하시려고했는지 뭐라 말해야 되지? 라는 발언등 질문 자체를 준비안하셨던 것 같습니다.","최악입니다. 한명의 사람으로서 제대로된 존중도 없어보이셨습니다. 마지막 엘리베이터에서 손으로 경례하면서 인사하는 등 사람으로서의 개념이 부족한 분이였습니다. 궁금한 점에서 이 회사에서 일을 하기 위해 중점적으로 키워야 하는 역량을 질문하였습니다. ""그건 모르겠는데?"" 라는 답변을 받았습니다. 제 포트폴리오 나 자기소개서 등을 한번도 읽어보시지도..."
60,(주)에이엔게임즈,IT/웹/통신,"피디와 팀장만 들어오는 면접 1회가 끝. 직무지식보다는 팀이랑 잘 융화돼서 일할수 있는지를 많이 보는 것 같았다""","우리회사 게임 해본 적 있냐
좋아하는 게임 있냐
회사랑 집이랑 먼데 괜찮겠냐","면접 가기 며칠전부터 해봤는데 처음 해보는 형식이라 재밌었다
~~ 게임 좋아한다 원래 모바일게임 많이 한다
이전회사도 많이 멀었는데 괜찮았다"
61,아이엠씨게임즈(주),IT/웹/통신,"테스트 포함 두시간 진행. 사전질문지 안 읽고 들어옴. 질문지만 읽고 들어왔어도 면접 시간 반은 줄어들듯. 시간의 대부분이 질문을 만들어내기 위한 침묵임. 그래서그런지 질문을 듣고 내가 이해한게 맞는지 재차...""","기억도 안나는데
면접관: 본인이 보통 창의적이라고 생각하세요?
나: 일상생활에서 사람들과 대화할 때 창의적인 답변으로 웃기는걸 좋아합니다.
면접관: 그럼 웃겨보세요.
나:?

뭐 이런식의 질문들이 난무했음.",거기서 일하시는 분들은 모두 그딴 면접을 뚫고 일하고 계시는군요. 대단합니다.
62,(주)스토리타코,IT/웹/통신,"면접에서 직무관련 질문이 많았고 비원서 넣고 채용까지 7일 이 안걸렸음. 빨랐음.""","업무 관련해서 어떻게 만들것인지
퇴사사유
회사지원이유","전체적으로 충분히 이해되는 면접이었고
분위기가 좋았습니다.
면접관님들도 친절하셨습니다."
63,(주)더블다운인터액티브,IT/웹/통신,"서류-1차면접-2차면접-처우협의-최종합격""","동기 비동기
포폴관련질문
개발시 어려웠던 점",기술 관련 질문에 모르는건 그냥 솔직하게 모르겠다고 함.
64,(주)엔엑스쓰리게임즈,IT/웹/통신,"스카웃 형태로 면접제의가 오게되어 면접을 보게됨""","본인의 포트폴리오를 자유롭게 설명하라.
이런 그래픽인데 작업 가능한지.
본인의 장점어필",본인의 능력을 정해진 룰 없이 자유롭게 뽐낼 수 있게 해주는 느낌이 좋았습니다.
65,(주)미투온,IT/웹/통신,"1차 실무면접 후 2차 임원면접. 2차 임원면접 이후 하루가 지나기 전에 합격연락 받음""","포트폴리오 관련 질문, 그동안 했던 일들이 슬롯과는 다른 일인데 어떻게 적응할 계획인지",그동안 했던 일을 중심으로 이야기했고 그렇게 나쁜 분위기는 아니었다.
